TAZ_REG,TAZ_OLD05,TAZ_MPO,COUNTY,CENSUSTAZ,TAZ_BF,FIX,AREA,F_NETAREA,CBD,HM_ROOMS
1620,1620,1620,1,,0,0,3720040.00000000000,0.75270,0,0
1702,1702,1702,1,,0,0,2618340.00000000000,0.64250,0,0
1699,1699,1699,1,,0,0,1948290.00000000000,0.78280,0,0
1701,1701,1701,1,,0,0,1869330.00000000000,0.81280,0,0
1700,1700,1700,1,,0,0,2520420.00000000000,0.77370,0,0
1487,1487,1487,1,,0,0,4098910.00000000000,0.92770,0,0
1486,1486,1486,1,,0,0,6371630.00000000000,0.97220,0,0
814,814,814,1,,0,0,8976470.00000000000,0.97430,0,0
815,815,815,1,,0,0,3486450.00000000000,0.85350,0,0
1488,1488,1488,1,,0,0,7781590.00000000000,0.97980,0,0
1621,1621,1621,1,,0,0,2272830.00000000000,0.62710,0,16
1715,1715,1715,1,,0,0,6769570.00000000000,0.85910,0,0
1711,1711,1711,1,,0,0,3375150.00000000000,0.77000,0,104
1712,1712,1712,1,,0,0,3569820.00000000000,0.91170,0,0
1713,1713,1713,1,,0,0,20640700.00000000000,0.95010,0,0
1710,1710,1710,1,,0,0,1916000.00000000000,0.78340,0,0
1709,1709,1709,1,,0,0,4077700.00000000000,0.69710,0,0
1623,1623,1623,1,,0,0,1775200.00000000000,0.62480,0,0
1705,1705,1705,1,,0,0,3323850.00000000000,0.74290,0,0
1622,1622,1622,1,,0,0,6932320.00000000000,0.92200,0,0
1708,1708,1708,1,,0,0,2983250.00000000000,0.90240,0,26
1707,1707,1707,1,,0,0,2101000.00000000000,0.87440,0,0
1706,1706,1706,1,,0,0,12352500.00000000000,0.90830,0,0
1722,1722,1722,1,,0,0,27846100.00000000000,0.94530,0,0
1720,1720,1720,1,,0,0,13788500.00000000000,0.91050,0,0
1625,1625,1625,1,,0,0,14288300.00000000000,0.84590,0,0
1717,1717,1717,1,,0,0,56094700.00000000000,0.95320,0,0
1624,1624,1624,1,,0,0,28080500.00000000000,0.97100,0,0
1538,1538,1538,1,,0,0,3166160.00000000000,0.91680,0,0
1011,1011,1011,1,,0,0,9478440.00000000000,0.92360,0,0
1343,1343,1343,1,,0,0,2166660.00000000000,0.77910,0,0
1345,1345,1345,1,,0,0,745120.00000000000,0.76960,0,0
1344,1344,1344,1,,0,0,399620.00000000000,0.69310,0,0
359,359,359,1,,0,0,35659900.00000000000,0.85640,0,24
1356,1356,1356,1,,0,0,1871810.00000000000,0.34530,0,0
394,394,394,1,,0,0,6259880.00000000000,0.39600,0,12
411,411,411,1,,0,0,5588250.00000000000,0.93010,0,0
1359,1359,1359,1,,0,0,3918710.00000000000,0.79330,0,0
415,415,415,1,,0,0,2817980.00000000000,0.88790,0,0
1360,1360,1360,1,,0,0,5295530.00000000000,0.81090,0,0
1361,1361,1361,1,,0,0,2452550.00000000000,0.82550,0,0
422,422,422,1,,0,0,8113020.00000000000,0.93900,0,0
1364,1364,1364,1,,0,0,3266600.00000000000,0.90830,0,0
1528,1528,1528,1,,0,0,2850040.00000000000,0.93450,0,0
946,946,946,1,,0,0,13433800.00000000000,0.84250,0,0
1369,1369,1369,1,,0,0,5319860.00000000000,0.76470,0,0
429,429,429,1,,0,0,4334750.00000000000,0.87720,0,0
1363,1363,1363,1,,0,0,2858610.00000000000,0.93880,0,0
1362,1362,1362,1,,0,0,4267400.00000000000,0.95500,0,0
421,421,421,1,,0,0,4847630.00000000000,0.94180,0,0
947,947,947,1,,0,0,11177100.00000000000,0.81140,0,0
1529,1529,1529,1,,0,0,10096500.00000000000,0.85620,0,0
1530,1530,1530,1,,0,0,866190.00000000000,0.93010,0,0
505,505,505,1,,0,0,2620190.00000000000,0.76750,0,0
1390,1390,1390,1,,0,0,4984740.00000000000,0.63030,0,16
1372,1372,1372,1,,0,0,3566510.00000000000,0.79220,0,0
445,445,445,1,,0,0,6876550.00000000000,0.80060,0,0
1532,1532,1532,1,,0,0,11752400.00000000000,0.79170,0,0
950,950,950,1,,0,0,10535600.00000000000,0.82810,0,0
1382,1382,1382,1,,0,0,1842720.00000000000,0.83050,0,0
485,485,485,1,,0,0,2854530.00000000000,0.82670,0,0
1384,1384,1384,1,,0,0,1517580.00000000000,0.85710,0,0
488,488,488,1,,0,0,7180460.00000000000,0.75280,0,0
498,498,498,1,,0,0,6898230.00000000000,0.80150,0,0
1385,1385,1385,1,,0,0,2794660.00000000000,0.88860,0,0
1386,1386,1386,1,,0,0,3468600.00000000000,0.86020,0,0
511,511,511,1,,0,0,2867910.00000000000,0.65810,0,0
1391,1391,1391,1,,0,0,2618810.00000000000,0.68890,0,0
1373,1373,1373,1,,0,0,14360900.00000000000,0.83690,0,0
452,452,452,1,,0,0,14708400.00000000000,0.88920,0,0
1392,1392,1392,1,,0,0,2650950.00000000000,0.75370,0,0
516,516,516,1,,0,0,9524630.00000000000,0.70630,0,0
1394,1394,1394,1,,0,0,2101440.00000000000,0.77940,0,0
520,520,520,1,,0,0,3505360.00000000000,0.76350,0,0
1393,1393,1393,1,,0,0,2167460.00000000000,0.71270,0,144
519,519,519,1,,0,0,4025510.00000000000,0.84030,0,29
556,556,556,1,,0,0,6861710.00000000000,0.67380,0,0
966,966,966,1,,0,0,5508410.00000000000,0.94310,0,0
1533,1533,1533,1,,0,0,1839920.00000000000,0.85920,0,0
1376,1376,1376,1,,0,0,2175340.00000000000,0.90820,0,0
1420,1420,1420,1,,0,0,5360910.00000000000,0.74720,0,0
1419,1419,1419,1,,0,0,5718400.00000000000,0.78540,0,0
1422,1422,1422,1,,0,0,2786830.00000000000,0.85050,0,0
595,595,595,1,,0,0,11656100.00000000000,0.93180,0,235
1425,1425,1425,1,,0,0,1670240.00000000000,0.90490,0,0
1426,1426,1426,1,,0,0,7084380.00000000000,0.89960,0,0
1424,1424,1424,1,,0,0,2098790.00000000000,0.88770,0,0
