"ID","Longitude","Latitude","TAZ_REG","TAZ_OLD05","TAZ_MPO","COUNTY","CENSUSTAZ","TAZ_BF","FIX","AREA","F_NETAREA","CBD","HM_ROOMS","AirSageDistrict"
2914,-80292964,25652407,4063.000000,0,1163,3.000000,"1208600001163",3963,0,27705900.00000000000,0.820500,0,0,7
2915,-80293099,25664025,4064.000000,0,1164,3.000000,"1208600001164",3964,0,16994100.00000000000,0.825600,0,0,7
2916,-80293352,25670925,4065.000000,0,1165,3.000000,"1208600001165",3965,0,15216600.00000000000,0.778500,0,0,7
2917,-80277468,25676912,4066.000000,0,1166,3.000000,"1208600001166",3966,0,26684500.00000000000,0.708900,0,0,7
2918,-80293610,25678257,4067.000000,0,1167,3.000000,"1208600001167",3967,0,16189600.00000000000,0.856400,0,0,7
2919,-80308995,25684280,4068.000000,0,1168,3.000000,"1208600001168",3968,0,11339200.00000000000,0.797700,0,0,7
2920,-80311268,25687112,4069.000000,0,1169,3.000000,"1208600001169",3969,0,940418.00000000000,0.720700,0,0,61
2921,-80217379,25945689,3017.000000,0,117,3.000000,"1208600000117",2917,0,7004160.00000000000,0.716900,0,0,3
2922,-80315459,25684558,4070.000000,0,1170,3.000000,"1208600001170",3970,0,2265460.00000000000,0.733300,0,207,61
2923,-80320138,25684021,4071.000000,0,1171,3.000000,"1208600001171",3971,0,4555070.00000000000,0.826000,0,0,5
2924,-80326603,25678346,4072.000000,0,1172,3.000000,"1208600001172",3972,0,15253300.00000000000,0.766500,0,0,5
2925,-80316505,25680710,4073.000000,0,1173,3.000000,"1208600001173",3973,0,1388240.00000000000,0.733300,0,207,61
2926,-80311527,25676873,4074.000000,0,1174,3.000000,"1208600001174",3974,0,10620800.00000000000,0.766500,0,0,7
2927,-80310593,25670456,4075.000000,0,1175,3.000000,"1208600001175",3975,0,14221500.00000000000,0.834400,0,0,7
2928,-80310353,25663137,4076.000000,0,1176,3.000000,"1208600001176",3976,0,14203500.00000000000,0.832900,0,0,7
2929,-80323751,25660860,4077.000000,0,1177,3.000000,"1208600001177",3977,0,6440480.00000000000,0.773300,0,0,7
2930,-80321267,25670150,4078.000000,0,1178,3.000000,"1208600001178",3978,0,3095460.00000000000,0.641500,0,0,7
2931,-80327833,25669959,4079.000000,0,1179,3.000000,"1208600001179",3979,0,11309500.00000000000,0.804700,0,0,5
2932,-80209350,25946005,3018.000000,0,118,3.000000,"1208600000118",2918,0,7001190.00000000000,0.727900,0,0,3
2933,-80329467,25660763,4080.000000,0,1180,3.000000,"1208600001180",3980,0,8968570.00000000000,0.830100,0,0,5
2934,-80342860,25662162,4081.000000,0,1181,3.000000,"1208600001181",3981,0,14360700.00000000000,0.845800,0,0,5
2935,-80343105,25669544,4082.000000,0,1182,3.000000,"1208600001182",3982,0,14324500.00000000000,0.789500,0,0,5
2936,-80343369,25677752,4083.000000,0,1183,3.000000,"1208600001183",3983,0,17626600.00000000000,0.826100,0,0,5
2937,-80338731,25685193,4084.000000,0,1184,3.000000,"1208600001184",3984,0,5792320.00000000000,0.826200,0,122,5
2938,-80329327,25684588,4085.000000,0,1185,3.000000,"1208600001185",3985,0,10020000.00000000000,0.766500,0,0,5
2939,-80347672,25684847,4086.000000,0,1186,3.000000,"1208600001186",3986,0,4716640.00000000000,0.730900,0,0,5
2940,-80357237,25678760,4087.000000,0,1187,3.000000,"1208600001187",3987,0,12152700.00000000000,0.785200,0,0,5
2941,-80356141,25682857,4088.000000,0,1188,3.000000,"1208600001188",3988,0,5610210.00000000000,0.785200,0,0,62
2942,-80363337,25679639,4089.000000,0,1189,3.000000,"1208600001189",3989,0,11611700.00000000000,0.805200,0,0,62
2943,-80201121,25946361,3019.000000,0,119,3.000000,"1208600000119",2919,0,7356630.00000000000,0.750800,0,0,3
2944,-80371157,25681331,4090.000000,0,1190,3.000000,"1208600001190",3990,0,9211940.00000000000,0.784400,0,0,62
2945,-80380288,25676089,4091.000000,0,1191,3.000000,"1208600001191",3991,0,6348070.00000000000,0.793500,0,26,62
2946,-80373060,25675654,4092.000000,0,1192,3.000000,"1208600001192",3992,0,7425830.00000000000,0.808400,0,0,62
2947,-80370709,25668490,4093.000000,0,1193,3.000000,"1208600001193",3993,0,6064110.00000000000,0.850800,0,0,62
2948,-80379793,25668186,4094.000000,0,1194,3.000000,"1208600001194",3994,0,7502720.00000000000,0.743800,0,0,62
2949,-80378061,25660658,4095.000000,0,1195,3.000000,"1208600001195",3995,0,6950330.00000000000,0.710200,0,0,62
2950,-80373417,25660888,4096.000000,0,1196,3.000000,"1208600001196",3996,0,7489920.00000000000,0.740600,0,0,5
2951,-80363854,25668467,4097.000000,0,1197,3.000000,"1208600001197",3997,0,7382950.00000000000,0.718500,0,0,5
2952,-80356378,25669190,4098.000000,0,1198,3.000000,"1208600001198",3998,0,7215900.00000000000,0.842000,0,0,5
2953,-80354822,25654360,4099.000000,0,1199,3.000000,"1208600001199",3999,0,21813800.00000000000,0.822200,0,0,5
2954,-80353701,25920606,2912.000000,0,12,3.000000,"1208600000012",2812,0,12642400.00000000000,0.883000,0,0,2
